Kjevik;SN39040;26.03.2023 03:00;0.5
Kjevik;SN39040;26.03.2023 04:00;33.3
Kjevik;SN39040;26.03.2023 05:00;32.7
Kjevik;SN39040;26.03.2023 06:00;32.7
Kjevik;SN39040;26.03.2023 07:00;32.4
Kjevik;SN39040;26.03.2023 08:00;32.5
Kjevik;SN39040;26.03.2023 09:00;32.9
Kjevik;SN39040;26.03.2023 10:00;33.4
Kjevik;SN39040;26.03.2023 11:00;33.1
Kjevik;SN39040;26.03.2023 12:00;33.4
Kjevik;SN39040;26.03.2023 13:00;33.3
Kjevik;SN39040;26.03.2023 14:00;37.2
Kjevik;SN39040;26.03.2023 15:00;35.4
Kjevik;SN39040;26.03.2023 16:00;34.5
Kjevik;SN39040;26.03.2023 17:00;33.4
Kjevik;SN39040;26.03.2023 18:00;31.1
Kjevik;SN39040;26.03.2023 19:00;30.0
Kjevik;SN39040;26.03.2023 20:00;30.0
Kjevik;SN39040;26.03.2023 21:00;28.0
Kjevik;SN39040;26.03.2023 22:00;26.1
Kjevik;SN39040;26.03.2023 23:00;24.4
Kjevik;SN39040;27.03.2023 00:00;23.9
Kjevik;SN39040;27.03.2023 01:00;23.4
Kjevik;SN39040;27.03.2023 02:00;23.9
Data er basert på gyldig data (per 18.03.2023)(CC BY 4.0) fra Meteorologisk institutt (MET); endringen er gjort av Umit Yildirim
